trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.75, 'e': 0.04507830123768897}",30,22,14.691186682481513,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.75, 'e': 0.04375598693400995}",20,3,29.340200528063836,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.75, 'e': 0.0424715926011916}",20,0,27.852199108387193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.75, 'e': 0.04122408182148252}",30,15,25.91528690378386,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.75, 'e': 0.040012443480306525}",35,21,25.95283376693489,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.75, 'e': 0.0388356913329887}",30,13,17.56073520108996,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.75, 'e': 0.03769286356661572}",25,13,20.95229029358857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.75, 'e': 0.03658302235811517}",30,19,19.61923682057519,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.75, 'e': 0.03550525342955646}",20,16,10.520885611627286,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.75, 'e': 0.03445866560161004}",30,16,26.0003716728265,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.75, 'e': 0.03344239034602314}",20,13,12.836527850616616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.75, 'e': 0.03245558133791082}",25,20,10.849127363499326,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.75, 'e': 0.031497414008595515}",20,10,18.8410784633969,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 0.0305670850996701}",25,8,21.156239803602347,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 0.029663812218905572}",20,16,5.822458501050345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.75, 'e': 0.028786833398570577}",20,10,17.32059721159306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.75, 'e': 0.027935406656681483}",20,15,8.94673195660148,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.75, 'e': 0.0271088095616574}",20,8,15.356533934005205,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.75, 'e': 0.026306338800809126}",20,0,33.25064968919905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.75, 'e': 0.025527309753050842}",25,11,27.636879207742915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.75, 'e': 0.024771056066187125}",30,10,31.724831371889746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.75, 'e': 0.024036929239089844}",30,16,22.80183943875318,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
