trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.75, 'e': 0.30648910159046505}",30,10,6.00882888783346,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
84,False,"{'a': 0.75, 'e': 0.2988326391224315}",30,0,-39.211211335728144,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.75, 'e': 0.2913251166896248}",30,0,-38.914778037904455,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.75, 'e': 0.28396602488912437}",20,8,8.274125314094114,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.27675469886256154}",20,0,21.05838869026925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.75, 'e': 0.26969032835557727}",20,16,6.329992538679774,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.75, 'e': 0.2627719674813118}",20,0,-2.531326508057872,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.75, 'e': 0.2559985441766406}",25,5,-0.4368333668816775,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.75, 'e': 0.24936886934230973}",25,3,-38.340811305356304,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.75, 'e': 0.24288164566036852}",20,15,-12.407439292520156,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.75, 'e': 0.23653547608433756}",25,0,27.83709196449995,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.75, 'e': 0.23032887199941032}",25,2,6.936032818343042,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.75, 'e': 0.22426026105166452}",20,8,20.08411122594226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.75, 'e': 0.21832799464677466}",30,0,-9.64268382742194,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.75, 'e': 0.21253035512006846}",25,14,11.372675696689695,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.75, 'e': 0.20686556258097755}",20,12,14.827354368497828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.75, 'e': 0.20133178143599562}",20,13,10.809387203453529,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.75, 'e': 0.1959271265951954}",20,0,-47.05049548504039,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
101,False,"{'a': 0.75, 'e': 0.19064966936816952}",20,9,9.98838087300963,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.75, 'e': 0.18549744305596005}",25,13,22.94121875633683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.75, 'e': 0.18046844824614394}",25,13,19.067704386963385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.1755606578187403}",35,3,-39.679382400787674,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 1}",1
105,False,"{'a': 0.75, 'e': 0.17077202167102234}",20,13,9.08478379913166,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.75, 'e': 0.16610047116965077}",20,14,-9.710684911615491,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.75, 'e': 0.16154392333880796}",20,0,-16.032341742732555,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
108,False,"{'a': 0.75, 'e': 0.15710028479320348}",25,11,9.463653839987652,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
